,title,director,release_year,length,genre,imdb_score,rating,gross_US_CA,imdb_votes
0,Aakasha Mittayee,M. Padmakumar,(2017),137 min,Comedy,7.0,,,187
1,Eureka Stockade,Harry Watt,(1949),103 min,"Drama, History",6.4,Approved,,187
2,The Delinquent,Cheh Chang,(1973),100 min,"Drama, Action",6.8,R,,187
3,Around June,James Savoca,(2008),93 min,"Animation, Drama, Fantasy",5.2,Not Rated,,187
4,Twisted,Seth Michael Donsky,(1996),100 min,Drama,4.6,Unrated,,187
5,Blackhawk: Fearless Champion of Freedom,Spencer Gordon Bennet,(1952),242 min,"Action, Adventure, Family",6.2,Approved,,187
6,The Flip Side,Marion Pilowsky,(2018),90 min,"Comedy, Romance",5.1,,,187
7,Honeymoon,Michael Powell,(1959),109 min,"Drama, Music",6.2,,,187
8,"England, My England",Tony Palmer,(1995),153 min,"Biography, Drama, History",7.0,,,187
9,Tabula Rasa,Adriyanto Dewo,(I) (2014),107 min,Drama,7.5,TV-PG,,187
10,Mirror Mirror 4: Reflections,Paulette Victor-Lifton,(2000),86 min,Horror,3.2,Not Rated,,187
11,The Gambling Ghost,Clifton Ko,(1991),93 min,"Action, Comedy, Fantasy",5.8,Unrated,,187
12,The Unknown Man of Shandigor,Jean-Louis Roy,(1967),96 min,"Drama, Action",6.5,,,187
13,The Dark Night of the Soul,Carlos Saura,(1989),93 min,Drama,5.9,,,187
14,An Italian in America,Alberto Sordi,(1967),96 min,Comedy,6.0,,,187
15,Come on George!,Anthony Kimmins,(1939),88 min,"Comedy, Musical",6.4,Approved,,187
16,Arms and the Man,Franz Peter Wirth,(1958),96 min,"Comedy, Romance",6.2,,,187
17,Ghroob Wa Shrooq,Kamal El-Shaikh,(1970),120 min,"Drama, Romance",7.0,,,187
18,The Children,Marguerite Duras,(1985),84 min,Comedy,6.5,Not Rated,,187
19,Margamkali,Sreejith Vijayan,(2019),142 min,"Comedy, Romance",4.7,,,187
20,Liebmann,Jules Herrmann,(2016),82 min,"Drama, Romance, Thriller",5.2,Unrated,,187
21,Unit Eleven,Theo Cane Garvey,(2020),118 min,Action,2.2,,,187
22,Naa Nuvve,Jayendra,(2018),125 min,Romance,4.4,,,187
23,Fatal Pulse,Damon Packard,(2018),115 min,Thriller,5.6,Not Rated,,187
24,Patria,Oleg Novkovic,(2015),110 min,Drama,5.3,,,187
25,Partners of the Plains,Lesley Selander,(1938),70 min,"Drama, Western",6.5,Passed,,187
26,The Lions Are Loose,Henri Verneuil,(1961),95 min,Comedy,5.8,,,187
27,Idö van,Péter Gothár,(1986),112 min,"Comedy, Drama",6.5,,,187
28,Beyond the Steppes,Vanja d'Alcantara,(2010),90 min,Drama,6.2,Not Rated,,187
29,Love on a Horse,Vangelis Serdaris,(1973),97 min,"Drama, Romance",4.2,R,,187
30,The Assam Garden,Mary McMurray,(1985),92 min,Drama,6.7,,,187
31,The Loves of Liszt,Márton Keleti,(1970),130 min,"Biography, Drama, History",6.2,G,,187
32,Loser Takes All,Ken Annakin,(1956),88 min,Comedy,5.0,Not Rated,,187
33,Flower in the Pocket,Seng Tat Liew,(2007),97 min,"Comedy, Drama",6.4,,,187
34,The Green Archer,Victor Jory,(I) (1940),285 min,"Action, Adventure, Crime",6.5,Passed,,187
35,Possession Diaries,Juan Frausto,(2019),93 min,Horror,2.1,,,187
36,The Chosen: Forbidden Cave,Hwi Kim,(2015),105 min,"Horror, Thriller",5.0,,,187
37,"Hahó, Öcsi!",György Palásthy,(1971),90 min,"Comedy, Family, Fantasy",6.5,,,187
38,Radiogram,Rouzie Hassanova,(2017),83 min,Drama,6.4,,,187
39,Notte italiana,Carlo Mazzacurati,(1987),92 min,"Comedy, Drama",6.7,,,187
40,And the Violins Stopped Playing,Alexander Ramati,(1988),116 min,"Biography, Drama, War",6.9,,,187
41,State Department: File 649,Sam Newfield,(1949),87 min,"Action, Adventure, Drama",4.7,Passed,,187
42,El Charro de las Calaveras,Alfredo Salazar,(1965),79 min,"Action, Horror, Mystery",5.3,,,187
