,title,critic_score,audience_score
0,'Twas the Fight Before Christmas,100,56
1,...And God Spoke,100,72
2,100 Days,100,73
3,100 Days to Live,100,85
4,100 Years of Men in Love: The Accidental Collection,100,50
5,11:55,100,80
6,12 Angry Men,100,97
7,16 Acres,100,73
8,17 Blocks,100,
9,2 in the Bush: A Love Story,100,
10,2040,100,47
11,27: El club de los malditos,100,0
12,"3 1/2 Minutes, Ten Bullets",100,86
13,3 Idiots,100,93
14,32 Pills: My Sister's Suicide,100,48
15,32 Weeks,100,95
16,36,100,81
17,4 Little Girls,100,89
18,42 Grams,100,69
19,4x4,100,60
20,5-25-77,100,88
21,500 Years,100,
22,537 Votes,100,70
23,5B,100,97
24,7 Days in September,100,80
25,76 Days,100,84
26,7:19,100,53
27,808,100,68
28,99 River Street,100,81
29,9to5: The Story of A Movement,100,90
30,'Twas the Fight Before Christmas,100,56
31,...And God Spoke,100,72
32,100 Days,100,73
33,100 Days to Live,100,85
34,100 Years of Men in Love: The Accidental Collection,100,50
35,11:55,100,80
36,12 Angry Men,100,97
37,16 Acres,100,73
38,17 Blocks,100,
39,2 in the Bush: A Love Story,100,
40,2040,100,47
41,27: El club de los malditos,100,0
42,"3 1/2 Minutes, Ten Bullets",100,86
43,3 Idiots,100,93
44,32 Pills: My Sister's Suicide,100,48
45,32 Weeks,100,95
46,36,100,81
47,4 Little Girls,100,89
48,42 Grams,100,69
49,4x4,100,60
50,5-25-77,100,88
51,500 Years,100,
52,537 Votes,100,70
53,5B,100,97
54,7 Days in September,100,80
55,76 Days,100,84
56,7:19,100,53
57,808,100,68
58,99 River Street,100,81
59,9to5: The Story of A Movement,100,90
60,A Beautiful Planet,100,78
61,A Bigger Splash,100,42
62,A Bittersweet Life,100,90
63,A Brighter Summer Day,100,94
64,A Brother's Kiss,100,67
65,A Christmas Carol,100,74
66,A Conspiracy of Faith,100,67
67,A Crime on the Bayou,100,80
68,A Day in the Country,100,87
69,A Deal With the Universe,100,
70,A Foreign Affair,100,78
71,"A Good Day to Die, Hoka Hey",100,
72,A Gray State,100,58
73,A Huey P. Newton Story,100,85
74,A Kid From Coney Island,100,69
75,A Kiss Before Dying,100,49
76,A Lesson in Love,100,77
77,A Lion in the House,100,97
78,A Love Song for Latasha,100,76
79,A Man Escaped,100,93
80,A Man Vanishes,100,81
81,A Mermaid in Paris,100,64
82,A Midsummer Night's Dream,100,67
83,A Million Colours,100,72
84,A Most Beautiful Thing,100,96
85,A Night to Remember,100,90
86,A Pebble in the Pond,100,100
87,A Peloton of One,100,
88,A People Uncounted,100,75
89,A Picture of You,100,75
90,'Twas the Fight Before Christmas,100,56
91,...And God Spoke,100,72
92,100 Days,100,73
93,100 Days to Live,100,85
94,100 Years of Men in Love: The Accidental Collection,100,50
95,11:55,100,80
96,12 Angry Men,100,97
97,16 Acres,100,73
98,17 Blocks,100,
99,2 in the Bush: A Love Story,100,
100,2040,100,47
101,27: El club de los malditos,100,0
102,"3 1/2 Minutes, Ten Bullets",100,86
103,3 Idiots,100,93
104,32 Pills: My Sister's Suicide,100,48
105,32 Weeks,100,95
106,36,100,81
107,4 Little Girls,100,89
108,42 Grams,100,69
109,4x4,100,60
110,5-25-77,100,88
111,500 Years,100,
112,537 Votes,100,70
113,5B,100,97
114,7 Days in September,100,80
115,76 Days,100,84
116,7:19,100,53
117,808,100,68
118,99 River Street,100,81
119,9to5: The Story of A Movement,100,90
120,A Beautiful Planet,100,78
121,A Bigger Splash,100,42
122,A Bittersweet Life,100,90
123,A Brighter Summer Day,100,94
124,A Brother's Kiss,100,67
125,A Christmas Carol,100,74
126,A Conspiracy of Faith,100,67
127,A Crime on the Bayou,100,80
128,A Day in the Country,100,87
129,A Deal With the Universe,100,
130,A Foreign Affair,100,78
131,"A Good Day to Die, Hoka Hey",100,
132,A Gray State,100,58
133,A Huey P. Newton Story,100,85
134,A Kid From Coney Island,100,69
135,A Kiss Before Dying,100,49
136,A Lesson in Love,100,77
137,A Lion in the House,100,97
138,A Love Song for Latasha,100,76
139,A Man Escaped,100,93
140,A Man Vanishes,100,81
141,A Mermaid in Paris,100,64
142,A Midsummer Night's Dream,100,67
143,A Million Colours,100,72
144,A Most Beautiful Thing,100,96
145,A Night to Remember,100,90
146,A Pebble in the Pond,100,100
147,A Peloton of One,100,
148,A People Uncounted,100,75
149,A Picture of You,100,75
150,A Quiet Place in the Country,100,54
151,A River Below,100,83
152,A Room With a View,100,85
153,A Secret Love,100,90
154,A Small Measure of Justice,100,
155,A Special Day,100,92
156,A Star Is Born,100,79
157,A Stray,100,75
158,A Tale of Love and Desire,100,
159,A Thousand Cuts,100,79
160,A Throw of Dice,100,47
161,"A Time to Live, a Time to Die",100,82
162,A Tree of Life: The Pittsburgh Synagogue Shooting,100,75
163,A Trip to the Moon,100,90
164,A Tuba to Cuba,100,82
165,A Wedding,100,100
166,A Werewolf Boy,100,85
167,A Whisper to a Roar,100,82
168,A Woman's Face,100,83
169,A.K.A. Doc Pomus,100,
170,A.rtificial I.mmortality,100,
171,AVA: A Twist in the Road,100,94
172,Abortion: Stories Women Tell,100,65
173,About Pie,100,91
174,About a Teacher,100,
175,Abracadabra,100,43
176,"Acasa, My Home",100,83
177,Accattone,100,88
178,Act & Punishment,100,
179,Adjust Your Tracking: The Untold Story of the VHS Collector,100,85
180,'Twas the Fight Before Christmas,100,56
181,...And God Spoke,100,72
182,100 Days,100,73
183,100 Days to Live,100,85
184,100 Years of Men in Love: The Accidental Collection,100,50
185,11:55,100,80
186,12 Angry Men,100,97
187,16 Acres,100,73
188,17 Blocks,100,
189,2 in the Bush: A Love Story,100,
190,2040,100,47
191,27: El club de los malditos,100,0
192,"3 1/2 Minutes, Ten Bullets",100,86
193,3 Idiots,100,93
194,32 Pills: My Sister's Suicide,100,48
195,32 Weeks,100,95
196,36,100,81
197,4 Little Girls,100,89
198,42 Grams,100,69
199,4x4,100,60
200,5-25-77,100,88
201,500 Years,100,
202,537 Votes,100,70
203,5B,100,97
204,7 Days in September,100,80
205,76 Days,100,84
206,7:19,100,53
207,808,100,68
208,99 River Street,100,81
209,9to5: The Story of A Movement,100,90
210,A Beautiful Planet,100,78
211,A Bigger Splash,100,42
212,A Bittersweet Life,100,90
213,A Brighter Summer Day,100,94
214,A Brother's Kiss,100,67
215,A Christmas Carol,100,74
216,A Conspiracy of Faith,100,67
217,A Crime on the Bayou,100,80
218,A Day in the Country,100,87
219,A Deal With the Universe,100,
220,A Foreign Affair,100,78
221,"A Good Day to Die, Hoka Hey",100,
222,A Gray State,100,58
223,A Huey P. Newton Story,100,85
224,A Kid From Coney Island,100,69
225,A Kiss Before Dying,100,49
226,A Lesson in Love,100,77
227,A Lion in the House,100,97
228,A Love Song for Latasha,100,76
229,A Man Escaped,100,93
230,A Man Vanishes,100,81
231,A Mermaid in Paris,100,64
232,A Midsummer Night's Dream,100,67
233,A Million Colours,100,72
234,A Most Beautiful Thing,100,96
235,A Night to Remember,100,90
236,A Pebble in the Pond,100,100
237,A Peloton of One,100,
238,A People Uncounted,100,75
239,A Picture of You,100,75
240,A Quiet Place in the Country,100,54
241,A River Below,100,83
242,A Room With a View,100,85
243,A Secret Love,100,90
244,A Small Measure of Justice,100,
245,A Special Day,100,92
246,A Star Is Born,100,79
247,A Stray,100,75
248,A Tale of Love and Desire,100,
249,A Thousand Cuts,100,79
250,A Throw of Dice,100,47
251,"A Time to Live, a Time to Die",100,82
252,A Tree of Life: The Pittsburgh Synagogue Shooting,100,75
253,A Trip to the Moon,100,90
254,A Tuba to Cuba,100,82
255,A Wedding,100,100
256,A Werewolf Boy,100,85
257,A Whisper to a Roar,100,82
258,A Woman's Face,100,83
259,A.K.A. Doc Pomus,100,
260,A.rtificial I.mmortality,100,
261,AVA: A Twist in the Road,100,94
262,Abortion: Stories Women Tell,100,65
263,About Pie,100,91
264,About a Teacher,100,
265,Abracadabra,100,43
266,"Acasa, My Home",100,83
267,Accattone,100,88
268,Act & Punishment,100,
269,Adjust Your Tracking: The Untold Story of the VHS Collector,100,85
270,Adoption,100,88
271,Adrienne,100,
272,Advocate,100,71
273,Aelita: Queen of Mars,100,58
274,Afghan Cycles,100,83
275,Afghan Star,100,77
276,Africa: The Serengeti,100,70
277,After Auschwitz,100,83
278,After Parkland,100,61
279,After Stonewall,100,76
280,After Truth: Disinformation and the Cost of Fake News,100,60
281,After the Thin Man,100,90
282,Aftershock,100,52
283,Against the Law,100,71
284,Age of Consent,100,50
285,Aida's Secrets,100,79
286,Aileen Wuornos: The Selling of a Serial Killer,100,66
287,Ainu Mosir,100,67
288,Ajeeb Daastaans,100,60
289,Ala Vaikunthapurramuloo,100,76
290,Alanis,100,59
291,Algren,100,
292,Ali Wong: Baby Cobra,100,74
293,Ali Wong: Hard Knock Wife,100,67
294,Ali: Fear Eats the Soul,100,91
295,Alice Is Still Dead,100,
296,Alice in the Cities,100,91
297,Alien Boy: The Life and Death of James Chasse,100,90
298,Alien Raiders,100,34
299,Alien Xmas,100,66
300,'Twas the Fight Before Christmas,100,56
301,...And God Spoke,100,72
302,100 Days,100,73
303,100 Days to Live,100,85
304,100 Years of Men in Love: The Accidental Collection,100,50
305,11:55,100,80
306,12 Angry Men,100,97
307,16 Acres,100,73
308,17 Blocks,100,
309,2 in the Bush: A Love Story,100,
310,2040,100,47
311,27: El club de los malditos,100,0
312,"3 1/2 Minutes, Ten Bullets",100,86
313,3 Idiots,100,93
314,32 Pills: My Sister's Suicide,100,48
315,32 Weeks,100,95
316,36,100,81
317,4 Little Girls,100,89
318,42 Grams,100,69
